text@kib1997f	@kib1997f	67.922	71.9	да / конечно // на нашем диване ты можешь делать все что тебе угодно //
text@kib1997f	@kib1997f	75.53	91.35	расскажи вообще про свои школьные годы / про школьные времена // это вообще ну / радостный период в твоей жизни был или нет? потому что вот у многих блогеров / популярных / у них было вот сложное это время / очень сложное какое-то детство и / взаимоотношения с ровесниками  //
text@kib1997f	@kib1997f	125.1	127.44	ну короче ты была вот этой бесячей отличницей //
text@kib1997f	@kib1997f	142.35	147.3	ну ты всегда получается боролась / за права была такой свободолюбивой / девочкой?
text@kib1997f	@kib1997f	164.42	165.31	а что случилось?
text@kib1997f	@kib1997f	167.33	168.23	да да можно //
text@kib1997f	@kib1997f	188.24	189.42	ну резонанс вызывает //
text@kib1997f	@kib1997f	288.608	291.416	ну ты считаешь что такой подход к студентам это нормально?
words@kib1997f	@kib1997f	0.003	0.27	и
words@kib1997f	@kib1997f	0.27	0.537	первый
words@kib1997f	@kib1997f	0.537	0.804	вопрос
words@kib1997f	@kib1997f	0.804	1.071	/
words@kib1997f	@kib1997f	1.071	1.338	тебе
words@kib1997f	@kib1997f	1.338	1.605	двадцать
words@kib1997f	@kib1997f	1.605	1.872	пять
words@kib1997f	@kib1997f	1.872	2.139	лет
words@kib1997f	@kib1997f	2.139	2.406	/
words@kib1997f	@kib1997f	2.406	2.673	и
words@kib1997f	@kib1997f	2.673	2.94	родом
words@kib1997f	@kib1997f	2.94	3.207	ты
words@kib1997f	@kib1997f	3.207	3.474	из
words@kib1997f	@kib1997f	3.474	3.741	Петрозаводска
words@kib1997f	@kib1997f	3.741	4.008	/
words@kib1997f	@kib1997f	4.008	4.275	все
words@kib1997f	@kib1997f	4.275	4.542	верно
words@kib1997f	@kib1997f	4.542	4.822	?
words@kib1997f	@kib1997f	5.344	5.546	расскажи
words@kib1997f	@kib1997f	5.546	5.748	вообще
words@kib1997f	@kib1997f	5.748	5.95	о
words@kib1997f	@kib1997f	5.95	6.152	своем
words@kib1997f	@kib1997f	6.152	6.354	родном
words@kib1997f	@kib1997f	6.354	6.556	городе
words@kib1997f	@kib1997f	6.556	6.758	/
words@kib1997f	@kib1997f	6.758	6.966	/
words@kib1997f	@kib1997f	28.611	28.869	а
words@kib1997f	@kib1997f	28.869	29.127	что
words@kib1997f	@kib1997f	29.127	29.385	послужило
words@kib1997f	@kib1997f	29.385	29.643	/
words@kib1997f	@kib1997f	29.643	29.901	ааа
words@kib1997f	@kib1997f	29.901	30.159	/
words@kib1997f	@kib1997f	30.159	30.417	фактором
words@kib1997f	@kib1997f	30.417	30.675	переезда
words@kib1997f	@kib1997f	30.675	30.933	/
words@kib1997f	@kib1997f	30.933	31.191	почему
words@kib1997f	@kib1997f	31.191	31.449	вы
words@kib1997f	@kib1997f	31.449	31.707	решили
words@kib1997f	@kib1997f	31.707	31.965	переехать
words@kib1997f	@kib1997f	31.965	32.233	?
words@kib1997f	@kib1997f	67.922	68.156	да
words@kib1997f	@kib1997f	68.156	68.39	/
words@kib1997f	@kib1997f	68.39	68.624	конечно
words@kib1997f	@kib1997f	68.624	68.858	/
words@kib1997f	@kib1997f	68.858	69.092	/
words@kib1997f	@kib1997f	69.092	69.326	на
words@kib1997f	@kib1997f	69.326	69.56	нашем
words@kib1997f	@kib1997f	69.56	69.794	диване
words@kib1997f	@kib1997f	69.794	70.028	ты
words@kib1997f	@kib1997f	70.028	70.262	можешь
words@kib1997f	@kib1997f	70.262	70.496	делать
words@kib1997f	@kib1997f	70.496	70.73	все
words@kib1997f	@kib1997f	70.73	70.964	что
words@kib1997f	@kib1997f	70.964	71.198	тебе
words@kib1997f	@kib1997f	71.198	71.432	угодно
words@kib1997f	@kib1997f	71.432	71.666	/
words@kib1997f	@kib1997f	71.666	71.9	/
words@kib1997f	@kib1997f	75.53	75.828	расскажи
words@kib1997f	@kib1997f	75.828	76.126	вообще
words@kib1997f	@kib1997f	76.126	76.424	про
words@kib1997f	@kib1997f	76.424	76.722	свои
words@kib1997f	@kib1997f	76.722	77.02	школьные
words@kib1997f	@kib1997f	77.02	77.318	годы
words@kib1997f	@kib1997f	77.318	77.616	/
words@kib1997f	@kib1997f	77.616	77.914	про
words@kib1997f	@kib1997f	77.914	78.212	школьные
words@kib1997f	@kib1997f	78.212	78.51	времена
words@kib1997f	@kib1997f	78.51	78.808	/
words@kib1997f	@kib1997f	78.808	79.106	/
words@kib1997f	@kib1997f	79.106	79.404	это
words@kib1997f	@kib1997f	79.404	79.702	вообще
words@kib1997f	@kib1997f	79.702	80.0	ну
words@kib1997f	@kib1997f	80.0	80.298	/
words@kib1997f	@kib1997f	80.298	80.596	радостный
words@kib1997f	@kib1997f	80.596	80.894	период
words@kib1997f	@kib1997f	80.894	81.192	в
words@kib1997f	@kib1997f	81.192	81.49	твоей
words@kib1997f	@kib1997f	81.49	81.788	жизни
words@kib1997f	@kib1997f	81.788	82.086	был
words@kib1997f	@kib1997f	82.086	82.384	или
words@kib1997f	@kib1997f	82.384	82.682	нет
words@kib1997f	@kib1997f	82.682	82.98	?
words@kib1997f	@kib1997f	82.98	83.278	потому
words@kib1997f	@kib1997f	83.278	83.576	что
words@kib1997f	@kib1997f	83.576	83.874	вот
words@kib1997f	@kib1997f	83.874	84.172	у
words@kib1997f	@kib1997f	84.172	84.47	многих
words@kib1997f	@kib1997f	84.47	84.768	блогеров
words@kib1997f	@kib1997f	84.768	85.066	/
words@kib1997f	@kib1997f	85.066	85.364	популярных
words@kib1997f	@kib1997f	85.364	85.662	/
words@kib1997f	@kib1997f	85.662	85.96	у
words@kib1997f	@kib1997f	85.96	86.258	них
words@kib1997f	@kib1997f	86.258	86.556	было
words@kib1997f	@kib1997f	86.556	86.854	вот
words@kib1997f	@kib1997f	86.854	87.152	сложное
words@kib1997f	@kib1997f	87.152	87.45	это
words@kib1997f	@kib1997f	87.45	87.748	время
words@kib1997f	@kib1997f	87.748	88.046	/
words@kib1997f	@kib1997f	88.046	88.344	очень
words@kib1997f	@kib1997f	88.344	88.642	сложное
words@kib1997f	@kib1997f	88.642	88.94	какое-то
words@kib1997f	@kib1997f	88.94	89.238	детство
words@kib1997f	@kib1997f	89.238	89.536	и
words@kib1997f	@kib1997f	89.536	89.834	/
words@kib1997f	@kib1997f	89.834	90.132	взаимоотношения
words@kib1997f	@kib1997f	90.132	90.43	с
words@kib1997f	@kib1997f	90.43	90.728	ровесниками
words@kib1997f	@kib1997f	90.728	91.026	/
words@kib1997f	@kib1997f	91.026	91.35	/
words@kib1997f	@kib1997f	125.1	125.334	ну
words@kib1997f	@kib1997f	125.334	125.568	короче
words@kib1997f	@kib1997f	125.568	125.802	ты
words@kib1997f	@kib1997f	125.802	126.036	была
words@kib1997f	@kib1997f	126.036	126.27	вот
words@kib1997f	@kib1997f	126.27	126.504	этой
words@kib1997f	@kib1997f	126.504	126.738	бесячей
words@kib1997f	@kib1997f	126.738	126.972	отличницей
words@kib1997f	@kib1997f	126.972	127.206	/
words@kib1997f	@kib1997f	127.206	127.44	/
words@kib1997f	@kib1997f	142.35	142.703	ну
words@kib1997f	@kib1997f	142.703	143.056	ты
words@kib1997f	@kib1997f	143.056	143.409	всегда
words@kib1997f	@kib1997f	143.409	143.762	получается
words@kib1997f	@kib1997f	143.762	144.115	боролась
words@kib1997f	@kib1997f	144.115	144.468	/
words@kib1997f	@kib1997f	144.468	144.821	за
words@kib1997f	@kib1997f	144.821	145.174	права
words@kib1997f	@kib1997f	145.174	145.527	была
words@kib1997f	@kib1997f	145.527	145.88	такой
words@kib1997f	@kib1997f	145.88	146.233	свободолюбивой
words@kib1997f	@kib1997f	146.233	146.586	/
words@kib1997f	@kib1997f	146.586	146.939	девочкой
words@kib1997f	@kib1997f	146.939	147.3	?
words@kib1997f	@kib1997f	164.42	164.642	а
words@kib1997f	@kib1997f	164.642	164.864	что
words@kib1997f	@kib1997f	164.864	165.086	случилось
words@kib1997f	@kib1997f	165.086	165.31	?
words@kib1997f	@kib1997f	167.33	167.51	да
words@kib1997f	@kib1997f	167.51	167.69	да
words@kib1997f	@kib1997f	167.69	167.87	можно
words@kib1997f	@kib1997f	167.87	168.05	/
words@kib1997f	@kib1997f	168.05	168.23	/
words@kib1997f	@kib1997f	188.24	188.476	ну
words@kib1997f	@kib1997f	188.476	188.712	резонанс
words@kib1997f	@kib1997f	188.712	188.948	вызывает
words@kib1997f	@kib1997f	188.948	189.184	/
words@kib1997f	@kib1997f	189.184	189.42	/
words@kib1997f	@kib1997f	288.608	288.863	ну
words@kib1997f	@kib1997f	288.863	289.118	ты
words@kib1997f	@kib1997f	289.118	289.373	считаешь
words@kib1997f	@kib1997f	289.373	289.628	что
words@kib1997f	@kib1997f	289.628	289.883	такой
words@kib1997f	@kib1997f	289.883	290.138	подход
words@kib1997f	@kib1997f	290.138	290.393	к
words@kib1997f	@kib1997f	290.393	290.648	студентам
words@kib1997f	@kib1997f	290.648	290.903	это
words@kib1997f	@kib1997f	290.903	291.158	нормально
words@kib1997f	@kib1997f	291.158	291.416	?
words@aam1994f	@aam1994f	4.89	4.933	да
words@aam1994f	@aam1994f	4.933	4.976	/
words@aam1994f	@aam1994f	4.976	5.02	/
words@aam1994f	@aam1994f	7.128	7.354	я
words@aam1994f	@aam1994f	7.354	7.58	там
words@aam1994f	@aam1994f	7.58	7.806	прожила
words@aam1994f	@aam1994f	7.806	8.032	до
words@aam1994f	@aam1994f	8.032	8.258	пяти
words@aam1994f	@aam1994f	8.258	8.484	лет
words@aam1994f	@aam1994f	8.484	8.71	всего
words@aam1994f	@aam1994f	8.71	8.936	лишь
words@aam1994f	@aam1994f	8.936	9.162	/
words@aam1994f	@aam1994f	9.162	9.388	и
words@aam1994f	@aam1994f	9.388	9.614	/
words@aam1994f	@aam1994f	9.614	9.84	все
words@aam1994f	@aam1994f	9.84	10.066	что
words@aam1994f	@aam1994f	10.066	10.292	я
words@aam1994f	@aam1994f	10.292	10.518	помню
words@aam1994f	@aam1994f	10.518	10.744	это
words@aam1994f	@aam1994f	10.744	10.97	/
words@aam1994f	@aam1994f	10.97	11.196	улицы
words@aam1994f	@aam1994f	11.196	11.422	и
words@aam1994f	@aam1994f	11.422	11.648	сугробы
words@aam1994f	@aam1994f	11.648	11.874	/
words@aam1994f	@aam1994f	11.874	12.102	/
words@aam1994f	@aam1994f	12.469	12.691	и
words@aam1994f	@aam1994f	12.691	12.913	я
words@aam1994f	@aam1994f	12.913	13.135	там
words@aam1994f	@aam1994f	13.135	13.357	не
words@aam1994f	@aam1994f	13.357	13.579	была
words@aam1994f	@aam1994f	13.579	13.801	ни
words@aam1994f	@aam1994f	13.801	14.023	разу
words@aam1994f	@aam1994f	14.023	14.245	больше
words@aam1994f	@aam1994f	14.245	14.467	/
words@aam1994f	@aam1994f	14.467	14.689	с
words@aam1994f	@aam1994f	14.689	14.911	тех
words@aam1994f	@aam1994f	14.911	15.133	пор
words@aam1994f	@aam1994f	15.133	15.355	/
words@aam1994f	@aam1994f	15.355	15.577	потому
words@aam1994f	@aam1994f	15.577	15.799	что
words@aam1994f	@aam1994f	15.799	16.021	я
words@aam1994f	@aam1994f	16.021	16.243	довольно
words@aam1994f	@aam1994f	16.243	16.465	рано
words@aam1994f	@aam1994f	16.465	16.687	переехала
words@aam1994f	@aam1994f	16.687	16.909	/
words@aam1994f	@aam1994f	16.909	17.131	ааа
words@aam1994f	@aam1994f	17.131	17.353	в
words@aam1994f	@aam1994f	17.353	17.578	Беларусь
words@aam1994f	@aam1994f	18.185	18.378	в
words@aam1994f	@aam1994f	18.378	18.571	родной
words@aam1994f	@aam1994f	18.571	18.764	город
words@aam1994f	@aam1994f	18.764	18.957	моей
words@aam1994f	@aam1994f	18.957	19.15	мамы
words@aam1994f	@aam1994f	19.15	19.343	/
words@aam1994f	@aam1994f	19.343	19.536	в
words@aam1994f	@aam1994f	19.536	19.729	очень
words@aam1994f	@aam1994f	19.729	19.922	маленький
words@aam1994f	@aam1994f	19.922	20.115	городок
words@aam1994f	@aam1994f	20.115	20.308	/
words@aam1994f	@aam1994f	20.308	20.501	он
words@aam1994f	@aam1994f	20.501	20.694	называется
words@aam1994f	@aam1994f	20.694	20.887	Береза
words@aam1994f	@aam1994f	20.887	21.08	/
words@aam1994f	@aam1994f	21.08	21.286	/
words@aam1994f	@aam1994f	21.433	21.71	я
words@aam1994f	@aam1994f	21.71	21.987	туда
words@aam1994f	@aam1994f	21.987	22.264	недавно
words@aam1994f	@aam1994f	22.264	22.541	ездила
words@aam1994f	@aam1994f	22.541	22.818	/
words@aam1994f	@aam1994f	22.818	23.098	/
words@aam1994f	@aam1994f	23.172	23.371	ааа
words@aam1994f	@aam1994f	23.371	23.57	для
words@aam1994f	@aam1994f	23.57	23.769	многих
words@aam1994f	@aam1994f	23.769	23.968	почему-то
words@aam1994f	@aam1994f	23.968	24.167	удивление
words@aam1994f	@aam1994f	24.167	24.366	/
words@aam1994f	@aam1994f	24.366	24.565	что
words@aam1994f	@aam1994f	24.565	24.764	я
words@aam1994f	@aam1994f	24.764	24.963	жила
words@aam1994f	@aam1994f	24.963	25.162	в
words@aam1994f	@aam1994f	25.162	25.361	Белорусии
words@aam1994f	@aam1994f	25.361	25.56	что
words@aam1994f	@aam1994f	25.56	25.759	я
words@aam1994f	@aam1994f	25.759	25.958	оттуда
words@aam1994f	@aam1994f	25.958	26.157	приехала
words@aam1994f	@aam1994f	26.157	26.356	/
words@aam1994f	@aam1994f	26.356	26.555	/
words@aam1994f	@aam1994f	26.555	26.754	и
words@aam1994f	@aam1994f	26.754	26.953	я
words@aam1994f	@aam1994f	26.953	27.152	до
words@aam1994f	@aam1994f	27.152	27.351	12
words@aam1994f	@aam1994f	27.351	27.55	лет
words@aam1994f	@aam1994f	27.55	27.749	там
words@aam1994f	@aam1994f	27.749	27.948	жила
words@aam1994f	@aam1994f	27.948	28.147	/
words@aam1994f	@aam1994f	28.147	28.358	/
words@aam1994f	@aam1994f	32.77	33.094	у
words@aam1994f	@aam1994f	33.094	33.418	меня
words@aam1994f	@aam1994f	33.418	33.742	родители
words@aam1994f	@aam1994f	33.742	34.066	захотели
words@aam1994f	@aam1994f	34.066	34.39	переехать
words@aam1994f	@aam1994f	34.39	34.714	в
words@aam1994f	@aam1994f	34.714	35.038	крупный
words@aam1994f	@aam1994f	35.038	35.362	город
words@aam1994f	@aam1994f	35.362	35.686	и
words@aam1994f	@aam1994f	35.686	36.01	/
words@aam1994f	@aam1994f	36.01	36.334	ну
words@aam1994f	@aam1994f	36.334	36.658	рискнуть
words@aam1994f	@aam1994f	36.658	36.982	как
words@aam1994f	@aam1994f	36.982	37.306	бы
words@aam1994f	@aam1994f	37.306	37.63	/
words@aam1994f	@aam1994f	37.63	37.954	чтобы
words@aam1994f	@aam1994f	37.954	38.278	мы
words@aam1994f	@aam1994f	38.278	38.602	с
words@aam1994f	@aam1994f	38.602	38.926	сестрой
words@aam1994f	@aam1994f	38.926	39.25	могли
words@aam1994f	@aam1994f	39.25	39.574	получать
words@aam1994f	@aam1994f	39.574	39.898	образование
words@aam1994f	@aam1994f	39.898	40.222	какое-то
words@aam1994f	@aam1994f	40.222	40.546	/
words@aam1994f	@aam1994f	40.546	40.87	хорошее
words@aam1994f	@aam1994f	40.87	41.194	/
words@aam1994f	@aam1994f	41.194	41.518	/
words@aam1994f	@aam1994f	41.518	41.842	ну
words@aam1994f	@aam1994f	41.842	42.166	и
words@aam1994f	@aam1994f	42.166	42.49	в
words@aam1994f	@aam1994f	42.49	42.814	итоге
words@aam1994f	@aam1994f	42.814	43.138	так
words@aam1994f	@aam1994f	43.138	43.462	и
words@aam1994f	@aam1994f	43.462	43.786	вышло
words@aam1994f	@aam1994f	43.786	44.11	/
words@aam1994f	@aam1994f	44.11	44.456	/
words@aam1994f	@aam1994f	45.051	45.291	и
words@aam1994f	@aam1994f	45.291	45.531	мне
words@aam1994f	@aam1994f	45.531	45.771	пришлось
words@aam1994f	@aam1994f	45.771	46.011	на
words@aam1994f	@aam1994f	46.011	46.251	некоторое
words@aam1994f	@aam1994f	46.251	46.491	время
words@aam1994f	@aam1994f	46.491	46.731	жить
words@aam1994f	@aam1994f	46.731	46.971	с
words@aam1994f	@aam1994f	46.971	47.211	родственниками
words@aam1994f	@aam1994f	47.211	47.451	/
words@aam1994f	@aam1994f	47.451	47.691	с
words@aam1994f	@aam1994f	47.691	47.931	бабушкой
words@aam1994f	@aam1994f	47.931	48.171	/
words@aam1994f	@aam1994f	48.171	48.411	с
words@aam1994f	@aam1994f	48.411	48.651	тетей
words@aam1994f	@aam1994f	48.651	48.891	/
words@aam1994f	@aam1994f	48.891	49.131	с
words@aam1994f	@aam1994f	49.131	49.371	дядей
words@aam1994f	@aam1994f	49.371	49.611	/
words@aam1994f	@aam1994f	49.611	49.851	ну
words@aam1994f	@aam1994f	49.851	50.091	то
words@aam1994f	@aam1994f	50.091	50.331	есть
words@aam1994f	@aam1994f	50.331	50.571	/
words@aam1994f	@aam1994f	50.571	50.811	получается
words@aam1994f	@aam1994f	50.811	51.051	по
words@aam1994f	@aam1994f	51.051	51.291	маминой
words@aam1994f	@aam1994f	51.291	51.531	линии
words@aam1994f	@aam1994f	51.531	51.771	/
words@aam1994f	@aam1994f	51.771	52.024	/
words@aam1994f	@aam1994f	52.149	52.398	а
words@aam1994f	@aam1994f	52.398	52.647	родители
words@aam1994f	@aam1994f	52.647	52.896	в
words@aam1994f	@aam1994f	52.896	53.145	этот
words@aam1994f	@aam1994f	53.145	53.394	момент
words@aam1994f	@aam1994f	53.394	53.643	переехали
words@aam1994f	@aam1994f	53.643	53.892	сначала
words@aam1994f	@aam1994f	53.892	54.141	в
words@aam1994f	@aam1994f	54.141	54.39	Санкт-Петербург
